メンバー,レアリティ,カード名,リンク,入手時,特訓時,ライブ開始,スキル発動,スキル発動(クロスボイス),SP発動
藤島慈,SR,節分 -艶-,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E7%AF%80%E5%88%86%20-%E8%89%B6-%EF%BC%BD%E8%97%A4%E5%B3%B6%E6%85%88,みらくらぱーく！解散だ～！ふんだ、るりちゃんのことなんてもう知らないし！これからは一人で髪乾かせばいいじゃん！お膝だって貸してあげないんだからね！,,大人のめぐちゃん、登場だよ？,あらあら、すてきね？,,新しい魅力、教えてあげる。
藤島慈,SR,yours ever,https://wikiwiki.jp/llll_wiki/%EF%BC%BByours%20ever%EF%BC%BD%E8%97%A4%E5%B3%B6%E6%85%88,この靴ね、私のオキニ！昔ね、同じメーカーのを、るりちゃんがくれたんだよ！それで、今も使い続けてて。……え？いやいや、重いとかじゃなくて。履き心地が気に入っているだけだってばー！,,幼馴染パワー、見せてあげる！,るりめぐアピール！,,るりちゃんの隣は、ずーっと私だからね！
藤島慈,SR,プチパティシエール,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%83%97%E3%83%81%E3%83%91%E3%83%86%E3%82%A3%E3%82%B7%E3%82%A8%E3%83%BC%E3%83%AB%EF%BC%BD%E8%97%A4%E5%B3%B6%E6%85%88,それじゃあ、レッツクッキ～ング！…と言っても、買ってきたスポンジケーキにデコレーションするだけなんだけどね。いいでしょ？世の中の女子は市販のチョコを溶かして固めるだけで、手作りチョコ～とか言ってるんだから。だからこれも、手作りケーキだよ☆,,世界中を、スイーツで夢中に！,はい、あーん♡,,藤島慈の、お味はいかが？
藤島慈,SR,ミルク,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%83%9F%E3%83%AB%E3%82%AF%EF%BC%BD%E8%97%A4%E5%B3%B6%E6%85%88,あーれー？沙知先輩腕前落ちたんじゃなーい？違うかぁ。私が手馴れて、上手になり過ぎちゃったかぁ。お？「それなら本気を見せちゃう」？おーおー、いいよいいよー、やってみなー？…って、うわ、速っ…！えぐ…。わ、私だって負けねーし！,,愛してるんだよ、皆！,ちゅ☆ラブめぐ！,,最強のスクールアイドルに、なるからね！
藤島慈,SR,H.S.C.T.☆,https://wikiwiki.jp/llll_wiki/%EF%BC%BBH.S.C.T.%E2%98%86%EF%BC%BD%E8%97%A4%E5%B3%B6%E6%85%88,紅組、藤島慈！出陣だー！体育祭って言ってもね、私学校行事とかあんまガチでやる系じゃないんだよねー。だって疲れちゃうじゃん。...え、何？紅組負けそう？ちょっとちょっと何やってんのアンタ達！もう、しょうがないなー、ここはめぐちゃんに任せろー！,,フレ、フレ、めぐ党！頑張れ頑張れめぐ党ー！,ねぇねぇ、私の為に頑張って！,,ゴーゴーラブリー！めーぐちゃーん！
藤島慈,SR,AURORA FLOWER,https://wikiwiki.jp/llll_wiki/%EF%BC%BBAURORA%20FLOWER%EF%BC%BD%E8%97%A4%E5%B3%B6%E6%85%88,いえーい！みてみて～、『今この瞬間を大切に』！やっぱいい曲だよね、『Dream Believers』。クラブの先輩が優勝したときの曲なんだからそりゃそうなんだけどさ。一番大切なことを歌ってるって思うんだ。だって私たち、今があって、過去から未来に繋がってるんだから。楽しみだな。ラブライブ！決勝大会。もう待ちきれないんだよ。ね、早くやろ！,,カコ、イマ、ミライ……全部抱きしめて！,めぐ党さん、みってる～？,,今日も一番きれいな、めぐちゃんだよ。
藤島慈,R,オーロラスカイ,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%82%AA%E3%83%BC%E3%83%AD%E3%83%A9%E3%82%B9%E3%82%AB%E3%82%A4%EF%BC%BD%E8%97%A4%E5%B3%B6%E6%85%88,やっほー、藤島慈だよー。ハロめぐー！蓮ノ空のスクールアイドルといえば、みんなご存知藤島慈。今日も応援してくれる人のために、楽しさいっぱい届けちゃうからね！,,ハロめぐー！,いっくよー！,,みんなのめぐちゃんだよー！
藤島慈,R,華紺青,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E8%8F%AF%E7%B4%BA%E9%9D%92%EF%BC%BD%E8%97%A4%E5%B3%B6%E6%85%88,ごめん、おまたせ。待った？……なんちゃって。本日は大人気スクールアイドル、藤島慈のプライベートに密着取材、的な？ コーディネートのポイントは……んー、きらめく私の笑顔！とかで、どう？,,ばっちり決めちゃうよ！,めぐちゃんのターン！,,かわいいでしょ？ 私たち！
藤島慈,R,レインボーシフォン,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%83%AC%E3%82%A4%E3%83%B3%E3%83%9C%E3%83%BC%E3%82%B7%E3%83%95%E3%82%A9%E3%83%B3%EF%BC%BD%E8%97%A4%E5%B3%B6%E6%85%88,ハロめぐー！みんなー、藤島慈だよー。ねえねえ、蓮ノ空のスクールアイドルと言えばー？そう、もちろん藤島慈！今日もめぐちゃんが、みんなにいっぱいの愛をお届けしちゃんうんだから！楽しんでいってね！,,せーの、ハロめぐー！,ついてきてね！,,みんなー、愛してるよー！
藤島慈,R,室咲格子,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E5%AE%A4%E5%92%B2%E6%A0%BC%E5%AD%90%EF%BC%BD%E8%97%A4%E5%B3%B6%E6%85%88,うん、私もこれから部活だよ。お互い頑張ろうね。……なんちゃって、今回は「もしもめぐ党さんがクラスメイトだったら？」でしたー！普段とは違う練習中の私の横顔に、うっかり恋しちゃってもいいんだよ？,,私のステージ、見ててね！,めぐちゃんのターン！,,めぐちゃんウィンク、ぱちっ☆
